001  00207 |Loss: 1.674 | Acc: 38.462% 
001  00208 |Loss: 1.672 | Acc: 38.555% 
001  00209 |Loss: 1.672 | Acc: 38.558% 
001  00210 |Loss: 1.670 | Acc: 38.583% 
001  00211 |Loss: 1.669 | Acc: 38.611% 
001  00212 |Loss: 1.668 | Acc: 38.668% 
001  00213 |Loss: 1.667 | Acc: 38.703% 
001  00214 |Loss: 1.666 | Acc: 38.723% 
001  00215 |Loss: 1.665 | Acc: 38.757% 
001  00216 |Loss: 1.664 | Acc: 38.802% 
001  00217 |Loss: 1.662 | Acc: 38.836% 
001  00218 |Loss: 1.662 | Acc: 38.847% 
001  00219 |Loss: 1.662 | Acc: 38.852% 
001  00220 |Loss: 1.660 | Acc: 38.874% 
001  00221 |Loss: 1.659 | Acc: 38.903% 
001  00222 |Loss: 1.658 | Acc: 38.939% 
001  00223 |Loss: 1.657 | Acc: 38.985% 
001  00224 |Loss: 1.656 | Acc: 39.045% 
001  00225 |Loss: 1.655 | Acc: 39.059% 
001  00226 |Loss: 1.654 | Acc: 39.080% 
001  00227 |Loss: 1.652 | Acc: 39.131% 
001  00228 |Loss: 1.651 | Acc: 39.182% 
001  00229 |Loss: 1.649 | Acc: 39.271% 
001  00230 |Loss: 1.649 | Acc: 39.276% 
001  00231 |Loss: 1.648 | Acc: 39.306% 
001  00232 |Loss: 1.647 | Acc: 39.372% 
001  00233 |Loss: 1.646 | Acc: 39.408% 
001  00234 |Loss: 1.644 | Acc: 39.476% 
001  00235 |Loss: 1.643 | Acc: 39.528% 
001  00236 |Loss: 1.641 | Acc: 39.572% 
001  00237 |Loss: 1.640 | Acc: 39.616% 
001  00238 |Loss: 1.639 | Acc: 39.660% 
001  00239 |Loss: 1.638 | Acc: 39.693% 
001  00240 |Loss: 1.636 | Acc: 39.753% 
001  00241 |Loss: 1.635 | Acc: 39.808% 
001  00242 |Loss: 1.634 | Acc: 39.821% 
001  00243 |Loss: 1.633 | Acc: 39.876% 
001  00244 |Loss: 1.633 | Acc: 39.885% 
001  00245 |Loss: 1.632 | Acc: 39.904% 
001  00246 |Loss: 1.632 | Acc: 39.923% 
001  00247 |Loss: 1.630 | Acc: 40.002% 
001  00248 |Loss: 1.628 | Acc: 40.064% 
001  00249 |Loss: 1.628 | Acc: 40.088% 
001  00250 |Loss: 1.627 | Acc: 40.097% 
001  00251 |Loss: 1.626 | Acc: 40.133% 
001  00252 |Loss: 1.625 | Acc: 40.151% 
001  00253 |Loss: 1.625 | Acc: 40.174% 
001  00254 |Loss: 1.624 | Acc: 40.188% 
001  00255 |Loss: 1.623 | Acc: 40.218% 
001  00256 |Loss: 1.624 | Acc: 40.204% 
001  00257 |Loss: 1.623 | Acc: 40.212% 
001  00258 |Loss: 1.622 | Acc: 40.237% 
001  00259 |Loss: 1.621 | Acc: 40.278% 
001  00260 |Loss: 1.620 | Acc: 40.325% 
001  00261 |Loss: 1.619 | Acc: 40.353% 
